,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1970
648,Afghanistan,AFG,TOT,Solomon Islands,SLB,0
649,Afghanistan,AFG,TOT,Somalia,SOM,0
650,Afghanistan,AFG,TOT,South Africa,ZAF,2
651,Afghanistan,AFG,TOT,Spain,ESP,0
652,Afghanistan,AFG,TOT,Sri Lanka,LKA,25
653,Afghanistan,AFG,TOT,St. Kitts and Nevis,KNA,0
654,Afghanistan,AFG,TOT,St. Lucia,LCA,0
655,Afghanistan,AFG,TOT,St. Vincent and the Grenadines,VCT,0
656,Afghanistan,AFG,TOT,Sudan,SDN,4
657,Afghanistan,AFG,TOT,Suriname,SUR,0
658,Afghanistan,AFG,TOT,Swaziland,SWZ,0
659,Afghanistan,AFG,TOT,Sweden,SWE,39
660,Afghanistan,AFG,TOT,Switzerland,CHE,127
661,Afghanistan,AFG,TOT,Syrian Arab Republic,SYR,6777
662,Afghanistan,AFG,TOT,"Taiwan, China",TWN,0
663,Afghanistan,AFG,TOT,Tajikistan,TJK,0
664,Afghanistan,AFG,TOT,Tanzania,TZA,21
665,Afghanistan,AFG,TOT,Thailand,THA,5
666,Afghanistan,AFG,TOT,Timor-Leste,TLS,0
667,Afghanistan,AFG,TOT,Togo,TGO,0
668,Afghanistan,AFG,TOT,Tokelau,TKL,0
669,Afghanistan,AFG,TOT,Tonga,TON,0
670,Afghanistan,AFG,TOT,Trinidad and Tobago,TTO,0
671,Afghanistan,AFG,TOT,Tunisia,TUN,9
672,Afghanistan,AFG,TOT,Turkey,TUR,2573
673,Afghanistan,AFG,TOT,Turkmenistan,TKM,0
674,Afghanistan,AFG,TOT,Turks and Caicos Islands,TCA,0
675,Afghanistan,AFG,TOT,Tuvalu,TUV,0
676,Afghanistan,AFG,TOT,Uganda,UGA,1
677,Afghanistan,AFG,TOT,Ukraine,UKR,0
678,Afghanistan,AFG,TOT,United Arab Emirates,ARE,759
679,Afghanistan,AFG,TOT,United Kingdom,GBR,50
680,Afghanistan,AFG,TOT,United States,USA,207
681,Afghanistan,AFG,TOT,Uruguay,URY,0
682,Afghanistan,AFG,TOT,Uzbekistan,UZB,0
