,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,2000
448,Afghanistan,AFG,MAL,United Kingdom,GBR,3
449,Afghanistan,AFG,MAL,United States,USA,23118
450,Afghanistan,AFG,MAL,Uruguay,URY,0
451,Afghanistan,AFG,MAL,Uzbekistan,UZB,0
452,Afghanistan,AFG,MAL,Vanuatu,VUT,0
453,Afghanistan,AFG,MAL,"Venezuela, RB",VEN,6
454,Afghanistan,AFG,MAL,Vietnam,VNM,12
455,Afghanistan,AFG,MAL,Virgin Islands (U.S.),VIR,0
456,Afghanistan,AFG,MAL,"Virgin Islands, British",VGB,0
457,Afghanistan,AFG,MAL,Wallis and Futuna,WLF,0
458,Afghanistan,AFG,MAL,West Bank and Gaza,PSE,54
459,Afghanistan,AFG,MAL,"Yemen, Rep.",YEM,1804
460,Afghanistan,AFG,MAL,Zambia,ZMB,0
461,Afghanistan,AFG,MAL,Zimbabwe,ZWE,0
924,Albania,ALB,MAL,Afghanistan,AFG,0
925,Albania,ALB,MAL,Albania,ALB,0
926,Albania,ALB,MAL,Algeria,DZA,2
927,Albania,ALB,MAL,American Samoa,ASM,0
928,Albania,ALB,MAL,Andorra,AND,85
929,Albania,ALB,MAL,Angola,AGO,0
930,Albania,ALB,MAL,Anguilla,AIA,0
931,Albania,ALB,MAL,Antigua and Barbuda,ATG,0
932,Albania,ALB,MAL,Argentina,ARG,0
933,Albania,ALB,MAL,Armenia,ARM,3
934,Albania,ALB,MAL,Aruba,ABW,0
935,Albania,ALB,MAL,Australia,AUS,802
936,Albania,ALB,MAL,Austria,AUT,1183
937,Albania,ALB,MAL,Azerbaijan,AZE,0
938,Albania,ALB,MAL,"Bahamas, The",BHS,0
939,Albania,ALB,MAL,Bahrain,BHR,2
940,Albania,ALB,MAL,Bangladesh,BGD,2
941,Albania,ALB,MAL,Barbados,BRB,0
942,Albania,ALB,MAL,Belarus,BLR,0
943,Albania,ALB,MAL,Belgium,BEL,754
944,Albania,ALB,MAL,Belize,BLZ,2
945,Albania,ALB,MAL,Benin,BEN,6
946,Albania,ALB,MAL,Bermuda,BMU,2
947,Albania,ALB,MAL,Bhutan,BTN,0
948,Albania,ALB,MAL,Bolivia,BOL,5
949,Albania,ALB,MAL,Bosnia and Herzegovina,BIH,454
950,Albania,ALB,MAL,Botswana,BWA,0
951,Albania,ALB,MAL,Brazil,BRA,0
952,Albania,ALB,MAL,Brunei Darussalam,BRN,0
953,Albania,ALB,MAL,Bulgaria,BGR,228
954,Albania,ALB,MAL,Burkina Faso,BFA,0
955,Albania,ALB,MAL,Burundi,BDI,0
956,Albania,ALB,MAL,Cambodia,KHM,2
957,Albania,ALB,MAL,Cameroon,CMR,5
958,Albania,ALB,MAL,Canada,CAN,3347
959,Albania,ALB,MAL,Cape Verde,CPV,7
960,Albania,ALB,MAL,Cayman Islands,CYM,0
961,Albania,ALB,MAL,Central African Republic,CAF,3
962,Albania,ALB,MAL,Chad,TCD,0
963,Albania,ALB,MAL,Channel Islands,CHI,..
964,Albania,ALB,MAL,Chile,CHL,11
965,Albania,ALB,MAL,China,CHN,0
966,Albania,ALB,MAL,Colombia,COL,19
967,Albania,ALB,MAL,Comoros,COM,0
968,Albania,ALB,MAL,"Congo, Dem. Rep.",COD,115
969,Albania,ALB,MAL,"Congo, Rep.",COG,3
970,Albania,ALB,MAL,Cook Islands,COK,0
971,Albania,ALB,MAL,Costa Rica,CRI,3
972,Albania,ALB,MAL,Cote d'Ivoire,CIV,10
973,Albania,ALB,MAL,Croatia,HRV,89
974,Albania,ALB,MAL,Cuba,CUB,90
975,Albania,ALB,MAL,Cyprus,CYP,72
976,Albania,ALB,MAL,Czech Republic,CZE,104
977,Albania,ALB,MAL,Denmark,DNK,37
978,Albania,ALB,MAL,Djibouti,DJI,0
