Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Afghanistan,AFG,MAL,Northern Mariana Islands,MNP,0
Afghanistan,AFG,MAL,Norway,NOR,3
Afghanistan,AFG,MAL,Oman,OMN,186
Afghanistan,AFG,MAL,Pakistan,PAK,14526
Afghanistan,AFG,MAL,Palau,PLW,0
Afghanistan,AFG,MAL,Panama,PAN,0
Afghanistan,AFG,MAL,Papua New Guinea,PNG,15
Afghanistan,AFG,MAL,Paraguay,PRY,0
Afghanistan,AFG,MAL,Peru,PER,1
Afghanistan,AFG,MAL,Philippines,PHL,27
Afghanistan,AFG,MAL,Poland,POL,42
Afghanistan,AFG,MAL,Portugal,PRT,3
Afghanistan,AFG,MAL,Puerto Rico,PRI,0
Afghanistan,AFG,MAL,Qatar,QAT,1315
Afghanistan,AFG,MAL,Reunion,REU,0
Afghanistan,AFG,MAL,Romania,ROU,0
Afghanistan,AFG,MAL,Russian Federation,RUS,0
Afghanistan,AFG,MAL,Rwanda,RWA,0
Afghanistan,AFG,MAL,Saint Helena,SHN,0
Afghanistan,AFG,MAL,Saint Pierre and Miquelon,SPM,0
Afghanistan,AFG,MAL,Samoa,WSM,0
Afghanistan,AFG,MAL,San Marino,SMR,0
Afghanistan,AFG,MAL,Sao Tome and Principe,STP,0
Afghanistan,AFG,MAL,Saudi Arabia,SAU,3018
Afghanistan,AFG,MAL,Senegal,SEN,0
Afghanistan,AFG,MAL,Serbia,SRB,..
Afghanistan,AFG,MAL,Serbia and Montenegro,SCG,2
Afghanistan,AFG,MAL,Seychelles,SYC,0
Afghanistan,AFG,MAL,Sierra Leone,SLE,0
Afghanistan,AFG,MAL,Singapore,SGP,4
Afghanistan,AFG,MAL,Slovak Republic,SVK,0
Afghanistan,AFG,MAL,Slovenia,SVN,0
Afghanistan,AFG,MAL,Solomon Islands,SLB,0
Afghanistan,AFG,MAL,Somalia,SOM,0
Afghanistan,AFG,MAL,South Africa,ZAF,1
Afghanistan,AFG,MAL,Spain,ESP,0
Afghanistan,AFG,MAL,Sri Lanka,LKA,71
Afghanistan,AFG,MAL,St. Kitts and Nevis,KNA,0
Afghanistan,AFG,MAL,St. Lucia,LCA,0
Afghanistan,AFG,MAL,St. Vincent and the Grenadines,VCT,0
Afghanistan,AFG,MAL,Sudan,SDN,3
Afghanistan,AFG,MAL,Suriname,SUR,0
Afghanistan,AFG,MAL,Swaziland,SWZ,0
Afghanistan,AFG,MAL,Sweden,SWE,100
